Customer_ID,Acquisition_Channel,Ad_Spend,Cart_Value,Checkout_Completed,Days_As_Customer,LTV_Estimate
CUS-000001,Google Search,4.03,111.6,True,297,295.74
CUS-000002,TikTok,8.35,57.78,True,515,223.1
CUS-000003,Google Search,4.05,73.48,True,16,80.01
CUS-000004,Instagram,4.35,55.09,True,174,108.34
CUS-000005,Google Search,16.22,31.93,True,238,74.15
CUS-000006,TikTok,3.48,47.82,True,309,129.91
CUS-000007,Instagram,5.23,77.27,True,146,139.94
CUS-000008,Instagram,5.6,81.19,False,300,0.0
CUS-000009,Google Search,19.27,66.29,True,240,154.68
CUS-000010,Instagram,,29.4,True,180,58.8
CUS-000011,Google Search,14.65,68.02,True,264,167.78
CUS-000012,Google Search,14.07,141.67,True,173,277.83
CUS-000013,TikTok,5.31,105.82,False,418,0.0
CUS-000014,TikTok,2.54,74.41,True,301,198.84
CUS-000015,Google Search,5.05,59.75,True,66,81.66
CUS-000016,TikTok,3.3,90.91,True,72,127.27
CUS-000017,Google Search,11.06,203.19,False,136,0.0
CUS-000018,TikTok,6.89,61.27,True,103,96.33
CUS-000019,Instagram,13.36,89.75,False,18,0.0
CUS-000020,Google Search,,148.82,True,261,364.61
CUS-000021,Instagram,6.63,36.94,True,320,102.61
CUS-000022,TikTok,2.55,96.46,False,263,0.0
CUS-000023,Instagram,5.25,79.78,True,429,269.92
CUS-000024,Google Search,13.84,86.35,True,125,146.32
CUS-000025,Google Search,8.13,55.99,True,214,122.56
CUS-000026,Instagram,1.92,59.4,False,793,0.0
CUS-000027,Google Search,23.96,39.87,True,234,91.7
CUS-000028,Instagram,8.51,40.23,False,136,0.0
CUS-000029,TikTok,6.26,81.4,True,147,147.88
CUS-000030,Instagram,1.33,71.0,True,21,79.28
CUS-000031,Instagram,15.75,67.63,False,44,0.0
CUS-000032,Instagram,6.0,82.44,False,76,0.0
CUS-000033,TikTok,4.06,54.81,False,268,0.0
CUS-000034,Instagram,2.42,166.75,True,278,424.29
CUS-000035,Instagram,11.03,24.98,True,3,25.4
CUS-000036,Instagram,,,True,192,
CUS-000037,Google Search,5.29,80.67,True,58,106.66
CUS-000038,TikTok,2.18,80.78,False,416,0.0
CUS-000039,Instagram,11.82,79.01,True,55,103.15
CUS-000040,Google Search,14.2,88.98,True,220,197.73
CUS-000041,TikTok,4.23,53.82,True,204,114.82
