Customer_ID,Acquisition_Channel,Ad_Spend,Cart_Value,Checkout_Completed,Days_As_Customer
CUS-000001,Google Search,4.03,111.6,True,297
CUS-000002,TikTok,8.35,57.78,True,515
CUS-000003,Google Search,4.05,73.48,True,16
CUS-000004,Instagram,4.35,55.09,True,174
CUS-000005,Google Search,16.22,31.93,True,238
CUS-000006,TikTok,3.48,47.82,True,309
CUS-000007,Instagram,5.23,77.27,True,146
CUS-000008,Instagram,5.6,81.19,False,300
CUS-000009,Google Search,19.27,66.29,True,240
CUS-000010,Instagram,,29.4,True,180
CUS-000011,Google Search,14.65,68.02,True,264
CUS-000012,Google Search,14.07,141.67,True,173
CUS-000013,TikTok,5.31,105.82,False,418
CUS-000014,TikTok,2.54,74.41,True,301
CUS-000015,Google Search,5.05,59.75,True,66
CUS-000016,TikTok,3.3,90.91,True,72
CUS-000017,Google Search,11.06,203.19,False,136
CUS-000018,TikTok,6.89,61.27,True,103
CUS-000019,Instagram,13.36,89.75,False,18
CUS-000020,Google Search,,148.82,True,261
CUS-000021,Instagram,6.63,36.94,True,320
CUS-000022,TikTok,2.55,96.46,False,263
CUS-000023,Instagram,5.25,79.78,True,429
CUS-000024,Google Search,13.84,86.35,True,125
CUS-000025,Google Search,8.13,55.99,True,214
CUS-000026,Instagram,1.92,59.4,False,793
CUS-000027,Google Search,23.96,39.87,True,234
CUS-000028,Instagram,8.51,40.23,False,136
CUS-000029,TikTok,6.26,81.4,True,147
CUS-000030,Instagram,1.33,71.0,True,21
CUS-000031,Instagram,15.75,67.63,False,44
CUS-000032,Instagram,6.0,82.44,False,76
CUS-000033,TikTok,4.06,54.81,False,268
CUS-000034,Instagram,2.42,166.75,True,278
CUS-000035,Instagram,11.03,24.98,True,3
CUS-000036,Instagram,,,True,192
CUS-000037,Google Search,5.29,80.67,True,58
CUS-000038,TikTok,2.18,80.78,False,416
CUS-000039,Instagram,11.82,79.01,True,55
CUS-000040,Google Search,14.2,88.98,True,220
CUS-000041,TikTok,4.23,53.82,True,204
CUS-000042,Instagram,3.6,128.23,True,177
CUS-000043,TikTok,3.09,55.98,False,69
CUS-000044,Google Search,25.29,112.12,False,281
CUS-000045,Google Search,23.09,71.3,True,104
CUS-000046,Google Search,16.35,118.3,False,19
CUS-000047,Instagram,2.43,50.14,False,37
CUS-000048,Google Search,4.58,57.14,True,132
CUS-000049,TikTok,0.76,61.48,False,215
CUS-000050,Instagram,17.45,48.16,True,241
CUS-000051,TikTok,,58.36,True,125
CUS-000052,TikTok,2.41,50.97,True,200
CUS-000053,Instagram,1.68,83.8,True,189
CUS-000054,Google Search,11.72,96.8,True,66
CUS-000055,Google Search,14.15,52.16,False,105
CUS-000056,Google Search,2.92,105.74,True,78
CUS-000057,TikTok,2.03,75.28,True,180
CUS-000058,Google Search,15.63,68.6,True,176
CUS-000059,Google Search,11.23,145.16,False,357
CUS-000060,Instagram,4.28,73.24,True,42
CUS-000061,TikTok,1.84,59.99,True,31
CUS-000062,Google Search,5.76,138.46,False,276
CUS-000063,Google Search,3.54,77.24,True,21
CUS-000064,Google Search,2.5,120.12,True,94
CUS-000065,Google Search,2.79,104.63,True,99
CUS-000066,Instagram,4.22,78.07,False,404
CUS-000067,Instagram,9.79,68.79,True,209
CUS-000068,Instagram,6.78,70.45,True,5
CUS-000069,Instagram,5.34,67.95,True,39
CUS-000070,Google Search,11.58,72.09,False,16
CUS-000071,Google Search,9.24,20.64,True,514
CUS-000072,Instagram,8.15,51.35,True,106
CUS-000073,Instagram,10.98,51.43,True,54
CUS-000074,Instagram,2.14,66.39,True,114
CUS-000075,Google Search,5.25,81.54,True,158
CUS-000076,Google Search,24.97,26.87,True,353
CUS-000077,Google Search,9.58,116.61,True,81
CUS-000078,Google Search,8.47,76.32,True,69
CUS-000079,Instagram,,90.61,True,134
CUS-000080,TikTok,3.6,42.31,True,566
CUS-000081,TikTok,1.88,72.1,True,562
CUS-000082,TikTok,3.4,28.05,False,139
CUS-000083,Google Search,3.78,76.18,False,105
CUS-000084,Google Search,5.67,29.97,False,158
CUS-000085,Instagram,1.6,68.23,True,146
CUS-000086,Instagram,12.21,86.5,True,257
CUS-000087,TikTok,2.94,103.61,True,132
CUS-000088,Instagram,3.41,10.1,True,321
CUS-000089,Google Search,4.54,100.85,False,347
CUS-000090,TikTok,2.3,68.73,False,45
CUS-000091,Google Search,14.74,113.63,True,380
CUS-000092,TikTok,8.69,34.66,False,338
CUS-000093,Instagram,10.22,90.37,True,298
CUS-000094,Instagram,10.79,112.73,True,220
CUS-000095,Instagram,14.6,73.73,True,1021
CUS-000096,Instagram,1.9,55.67,True,179
CUS-000097,TikTok,3.17,51.36,True,7
CUS-000098,TikTok,2.28,61.4,True,72
CUS-000099,Google Search,4.47,126.16,True,290
CUS-000100,Google Search,23.59,77.64,True,18
CUS-000101,Google Search,5.65,82.43,True,96
CUS-000102,Google Search,15.92,51.63,True,11
CUS-000103,TikTok,1.46,68.46,True,78
CUS-000104,Instagram,2.77,61.54,True,95
CUS-000105,Google Search,11.79,49.4,True,164
CUS-000106,Instagram,11.09,25.91,True,133
CUS-000107,TikTok,3.01,,False,468
CUS-000108,Instagram,5.09,22.2,False,21
CUS-000109,TikTok,3.56,60.56,True,339
CUS-000110,Google Search,7.57,35.95,True,296
CUS-000111,TikTok,4.2,43.65,True,119
CUS-000112,TikTok,1.34,90.3,False,308
CUS-000113,Instagram,9.46,69.06,True,287
CUS-000114,Instagram,10.67,52.86,True,293
